operacion,tipo,long,lat,m2total,direccion,calle,altura,cambio,preciotex,preciousd,precioars,preciousdm,precioarsm,barrio,comuna,codigo_postal,codigo_postal_argentino
VTA,TERRENO,-58.4140715,-34.6182141,320.0,Agrelo 3399,Agrelo ,3399,37.2,U$S 330000,330000.0,12276000.0,1031.25,38362.5,ALMAGRO,5.0,1224,C1224ABE
VTA,TERRENO,-58.4245657,-34.610096999999996,320.0,Bartolome Mitre y Gascon,Bartolome Mitre y Gascon,,37.2,U$S 690000,690000.0,25668000.0,2156.25,80212.5,ALMAGRO,5.0,,
VTA,TERRENO,-58.424486,-34.61365870000001,174.0,Don Bosco,Don Bosco,,37.2,U$S 380000,380000.0,14136000.0,2183.908046,81241.37931,ALMAGRO,5.0,,
VTA,TERRENO,-58.4236514,-34.614752100000004,650.0,Hipolito Irigoyen 4043,Hipolito Irigoyen ,4043,37.2,U$S 1000000,1000000.0,37200000.0,1538.461538,57230.76923099999,ALMAGRO,5.0,,
VTA,TERRENO,-58.413725199999995,-34.6031243,283.0,HUMAHUACA 3400,HUMAHUACA ,3400,37.2,U$S 850000,850000.0,31620000.0,3003.533569,111731.44876300001,ALMAGRO,5.0,1191,C1191ABB
VTA,TERRENO,-58.421962,-34.60729,296.0,POTOSI 3900,POTOSI ,3900,37.2,U$S 750000,750000.0,27900000.0,2533.783784,94256.75675700001,ALMAGRO,5.0,1199,C1199ACD
VTA,TERRENO,-58.4267171,-34.6126937,240.0,PRIGLES,PRIGLES,,37.2,U$S 448000,448000.0,16665600.0,1866.6666670000002,69440.0,ALMAGRO,5.0,,
VTA,TERRENO,-58.427137300000005,-34.602570799999995,270.0,PRINGLES,PRINGLES,,37.2,U$S 700000,700000.0,26040000.0,2592.592593,96444.44444400001,ALMAGRO,5.0,,
VTA,TERRENO,-58.41401870000001,-34.5993478,176.0,San Luis 3438,San Luis ,3438,37.2,U$S 589000,589000.0,21910800.0,3346.590909,124493.18181800001,ALMAGRO,5.0,1186,C1186ACP
VTA,TERRENO,-58.414043400000004,-34.60118920000001,221.0,SANCHEZ DE BUSTAMANTE 800,SANCHEZ DE BUSTAMANTE ,800,37.2,U$S 500000,500000.0,18600000.0,2262.443439,84162.895928,ALMAGRO,5.0,1173,C1173ABN
VTA,TERRENO,-58.4144007,-34.6029925,221.0,Sanchez de Bustamante 600,Sanchez de Bustamante ,600,37.2,U$S 498000,498000.0,18525600.0,2253.393665,83826.244344,ALMAGRO,5.0,1173,C1173ABJ
VTA,TERRENO,-58.414005,-34.611391999999995,188.0,Sanchez de Loria184/86/88,Sanchez de Loria,184,37.2,U$S 259000,259000.0,9634800.0,1377.659574,51248.93617,ALMAGRO,5.0,1173,C1173ACD
VTA,TERRENO,-58.428177346216,-34.604039235368,480.0,SARMIENTO 4400,SARMIENTO ,4400,37.2,U$S 1100000,1100000.0,40920000.0,2291.666667,85250.0,ALMAGRO,5.0,1197,C1197AAN
VTA,TERRENO,-58.413405000000004,-34.6165658,400.0,Venezuela 3300,Venezuela ,3300,37.2,U$S 650000,650000.0,24180000.0,1625.0,60450.0,ALMAGRO,5.0,1211,C1211AAL
VTA,TERRENO,-58.3859079,-34.6285634,600.0,AV BRASIL 1402,AV BRASIL ,1402,37.2,U$S 749000,749000.0,27862800.0,1248.333333,46438.0,CONSTITUCION,1.0,1154,C1154AAZ
VTA,TERRENO,-58.384930000000004,-34.62292,165.0,Av San Juan 1300,Av San Juan ,1300,37.2,U$S 480000,480000.0,17856000.0,2909.090909,108218.18181800001,CONSTITUCION,1.0,1148,C1148AAN
VTA,TERRENO,-58.37944670000001,-34.6196476,135.0,Carlos Calvo 955,Carlos Calvo ,955,37.2,U$S 385000,385000.0,14322000.0,2851.851852,106088.888889,CONSTITUCION,1.0,1102,C1102AAS
VTA,TERRENO,-58.3853637,-34.6187761,255.0,ESTADOS UNIDOS 1300,ESTADOS UNIDOS ,1300,37.2,U$S 400000,400000.0,14880000.0,1568.627451,58352.941176,CONSTITUCION,1.0,1101,C1101AAZ
VTA,TERRENO,-58.3882159,-34.626332500000004,210.0,PAVON 1600,PAVON ,1600,37.2,U$S 250000,250000.0,9300000.0,1190.47619,44285.714286,CONSTITUCION,1.0,1151,C1151ABJ
VTA,TERRENO,-58.387338,-34.632391,121.0,RONDEAU  1500,RONDEAU  ,1500,37.2,U$S 165000,165000.0,6138000.0,1363.636364,50727.272726999996,CONSTITUCION,1.0,,
VTA,TERRENO,-58.3821846,-34.6221905,893.0,SAN JUAN 1100,SAN JUAN ,1100,37.2,U$S 2150000,2150000.0,79980000.0,2407.614782,89563.269877,CONSTITUCION,1.0,1147,C1147AAV
VTA,TERRENO,-58.405274399999996,-34.627425099999996,0.0,Dean Funes 1450,Dean Funes ,1450,37.2,U$S 220000,220000.0,8184000.0,586.0,21824.0,SAN CRISTOBAL,3.0,1244,C1244AAF
